Date;Open;High;Low;Close;Volume;Adj Close;;;;;;;;
20.09.2011;19008.61;19055.16;18732.75;19014.80;1800534000;19014.80;;;;;;;;
19.09.2011;19247.59;19247.59;18876.06;18917.95;1576185200;18917.95;;;;;;;;
16.09.2011;19545.50;19652.53;19454.74;19455.31;2492944200;19455.31;;;;;;;;
15.09.2011;19186.76;19269.41;18935.08;19181.50;1916783000;19181.50;;;;;;;;
14.09.2011;19216.29;19248.64;18627.65;19045.44;2449187200;19045.44;;;;;;;;
12.09.2011;19264.68;19303.74;18989.44;19030.54;1900551400;19030.54;;;;;;;;
09.09.2011;19997.89;20088.80;19808.95;19866.63;1301321900;19866.63;;;;;;;;
08.09.2011;20159.29;20159.29;19799.49;19912.82;1893054800;19912.82;;;;;;;;
07.09.2011;19836.25;20069.75;19785.29;20048.00;1706676000;20048.00;;;;;;;;
06.09.2011;19374.92;19727.89;19290.40;19710.50;1813548800;19710.50;;;;;;;;
05.09.2011;19830.50;19830.50;19567.77;19616.40;1887246000;19616.40;;;;;;;;
02.09.2011;20557.92;20580.81;20178.67;20212.91;1751778400;20212.91;;;;;;;;
01.09.2011;20790.22;20975.30;20572.97;20585.33;2665644400;20585.33;;;;;;;;
31.08.2011;20256.34;20556.93;20168.93;20534.85;3563446800;20534.85;;;;;;;;
30.08.2011;20203.55;20341.12;20071.52;20204.17;6806048000;20204.17;;;;;;;;
29.08.2011;19883.06;19919.34;19749.40;19865.11;1898744000;19865.11;;;;;;;;
26.08.2011;19733.71;19919.92;19549.53;19582.88;2063724400;19582.88;;;;;;;;
25.08.2011;19744.52;19803.28;19638.87;19752.48;1819733600;19752.48;;;;;;;;
24.08.2011;19863.11;19876.67;19452.65;19466.79;1680593600;19466.79;;;;;;;;
23.08.2011;19476.47;19893.37;19383.38;19875.53;1963474800;19875.53;;;;;;;;
22.08.2011;19465.30;19666.84;19047.64;19486.87;2553695400;19486.87;;;;;;;;
19.08.2011;19478.82;19595.92;19314.42;19399.92;2110642000;19399.92;;;;;;;;
18.08.2011;20261.21;20342.24;19969.21;20016.27;1568461000;20016.27;;;;;;;;
17.08.2011;20318.37;20504.38;20214.72;20289.03;1562562300;20289.03;;;;;;;;
16.08.2011;20344.75;20431.86;20140.31;20212.08;1776906800;20212.08;;;;;;;;
15.08.2011;20056.78;20264.33;19924.56;20260.10;1827188800;20260.10;;;;;;;;
12.08.2011;19955.82;19955.82;19575.00;19620.01;2156205600;19620.01;;;;;;;;
11.08.2011;19319.43;19728.88;19269.41;19595.14;2751712000;19595.14;;;;;;;;
10.08.2011;19993.78;20105.87;19672.66;19783.67;2935328800;19783.67;;;;;;;;
09.08.2011;19209.70;20158.55;18868.11;19330.70;4636766000;19330.70;;;;;;;;
08.08.2011;20409.01;20572.51;20044.37;20490.57;2678413800;20490.57;;;;;;;;
05.08.2011;20939.40;21017.72;20643.26;20946.14;3533657200;20946.14;;;;;;;;
04.08.2011;22019.92;22087.12;21725.67;21884.74;1548019600;21884.74;;;;;;;;
03.08.2011;22015.67;22041.87;21882.78;21992.72;2262162000;21992.72;;;;;;;;
02.08.2011;22532.77;22623.22;22387.92;22421.46;1587782000;22421.46;;;;;;;;
01.08.2011;22739.55;22808.33;22651.00;22663.37;1443945900;22663.37;;;;;;;;
29.07.2011;22544.51;22623.01;22323.16;22440.25;1287597300;22440.25;;;;;;;;
28.07.2011;22246.70;22572.30;22231.07;22570.74;1485732600;22570.74;;;;;;;;
27.07.2011;22489.70;22635.38;22469.18;22541.69;1484204900;22541.69;;;;;;;;
